ident,name,type,latitude,longitude,country code,airport
AN,Aguni,NDB,26.5937,127.236,JP,RORA
AN,Andizhan,NDB,40.6983,72.25,UZ,
AN,Anapa,NDB,44.9683,37.305,RU,URKA
AN,Belgorod,NDB,50.665,36.5267,RU,UUOB
AN,Arvidsjaur,NDB,65.6339,19.143,SE,ESNX
ANA,Santa Ana,NDB,-13.763,-65.4323,BO,SLSA
ANA,Contamana,NDB,-7.34528,-75.0053,PE,
ANB,Annaba,VOR-DME,36.8167,7.8,DZ,DABB
ANB,Annaba,NDB,36.8181,7.8025,DZ,DABB
ANC,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,VORDME,43.58639,13.47111,,
ANC,Ancona,VOR-DME,43.5864,13.4711,IT,LIPY
ANC,Ancona,NDB,43.5867,13.4722,IT,LIPY
AND,Andahuaylas,VOR-DME,-13.7142,-73.3778,PE,SPHY
AND,Andahuaylas,NDB,-13.7097,-73.35,PE,SPHY
AND,Andong,VOR-DME,30.2533,121.218,CN,
AND,Andranik,NDB,39.8303,44.9925,AM,
AND,BOREALIS FRA,VORDME,69.28778,16.14139,,
AND,Andoya,VOR-DME,69.2878,16.1414,NO,ENAN
ANE,Arlanda,DME,59.694,18.0599,SE,
ANG,Wallblake,NDB,18.2052,-63.0926,AI,TQPF
ANG,Angers,VOR,47.5369,-0.85183,FR,
ANG,LFFRAN,DME,47.53694,-0.85194,,
ANK,Anarak,VOR-DME,33.5375,53.7297,IR,
ANK,Ankara,NDB-DME,39.9531,32.8281,TR,LTAD
ANL,Nea Anchialos,TACAN,39.2139,22.7442,GR,LGBL
ANP,Anapolis,NDB,-16.3174,-49.0403,BR,SBAN
ANP,Anapolis,VOR-DME,-16.2607,-48.992,BR,SBAN
ANS,Ansbach,NDB,49.3097,10.6328,DE,ETEB
ANT,Antalya,DME,36.8756,30.7892,TR,LTAI
ANT,Antwerpen,VOR-DME,51.1906,4.4725,BE,EBAW
ANT,Antoni,VOR-DME,60.863,25.1268,FI,
ANU,V C Bird,VOR-DME,17.1259,-61.8002,AG,TAPA
ANU,V C Bird,NDB,17.1274,-61.8082,AG,TAPA
ANW,Arlanda,DME,59.7133,17.8526,SE,
ANY,Achmad Yani,VOR-DME,-6.97472,110.38,ID,WARS
AO,Hao,NDB,-18.0633,-140.96201,PF,NTTO
AO,Kano,NDB,12.0587,8.54174,NG,DNKN
AO,Opera,NDB,47.0817,20.2117,HU,LHSN
AOG,Rota,NDB,36.6421,-6.31681,ES,LERT
AOG,Rota,TACAN,36.6479,-6.34906,ES,LERT
